curr_step,dataset,net,RPMAX,train_rate,val_rate,date,alpha,C,dprate,dropout,early_stopping,epoch,epochs,Gamma,heads,hidden,Init,JK,K,layers,lr,nhop,output_heads,ppnp,test_acc_std,test_f1_macro_std,test_f1_micro_std,train_acc_std,train_f1_macro_std,train_f1_micro_std,val_acc_std,val_f1_macro_std,val_f1_micro_std,weight_decay,test_rate,test_acc_mean,test_f1_macro_mean,test_f1_micro_mean,train_acc_mean,train_f1_macro_mean,train_f1_micro_mean,val_acc_mean,val_f1_macro_mean,val_f1_micro_mean,cometml,exp,parameter_search,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,total_time_mean,total_time_std,aggr,kernel_size,conditional,att_weight_decay,batch_size,root,sample_coverage,walk_length,depth,num_neighbors
,cora,GCN,10,0.6,0.2,2021-11-18 13:31:30.178,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.1681560861630504,0.8598301417468854,1.1681560861630504,0.6994747478421923,0.7103091274808604,0.6994747478421923,1.4807350721205397,1.3618982546056324,1.480735072120541,5e-06,0.1999999999999999,86.97865353037766,61.30430431778227,86.97865353037766,93.94348105330764,93.9438225444288,93.94348105330764,86.66051660516607,61.30581122912419,86.66051660516605,False,,True,194.6,4.199999999999994,0.0266605744961284,0.0005705164950018,5.1889424324035645,0.1813147926475392,,,,,,,,,,
,cora,JK-GCN,10,0.6,0.2,2021-12-08 19:21:42.129,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,lstm,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.395634112372796,1.05976442380357,1.395634112372797,0.6449526119785826,0.6316014947874942,0.6449526119785826,0.7289574267578756,0.769305283072165,0.7289574267578756,5e-06,0.1999999999999999,86.63382594417077,61.52012967178096,86.63382594417077,93.85998715478486,93.8653484026268,93.85998715478486,87.02952029520296,61.57388784429344,87.02952029520296,True,,False,189.3,3.551056180912935,0.0221331895713265,0.0002018253975065,4.190270172500016,0.1071966715468987,mean,16.0,True,,,,,,,
,cora,ChebNet,10,0.6,0.2,2021-11-25 12:06:07.292,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.2834169477615227,0.9343007629957634,1.2834169477615216,0.2527767328728897,0.2497750281578886,0.2527767328728897,1.300574431629307,0.9841908986189856,1.300574431629308,5e-06,0.1999999999999999,86.38752052545155,61.253811582290375,86.38752052545155,99.49261400128452,99.4977863777332,99.49261400128452,84.88929889298893,60.08832574438215,84.88929889298893,False,,True,259.2,13.962807740565648,0.0300559224093041,0.0001654841039919,7.789423251152041,0.4001457521926214,,,,,,,,,,
,cora,SGC,10,0.6,0.2,2021-11-26 19:28:50.694,0.1,7.0,0.5,0.5,40,,100,,8.0,64,PPR,last,10.0,2.0,0.2,2.0,1.0,GPR_prop,1.5068309815781504,1.5695796463727425,1.5068309815781495,0.4289224882996509,0.4134804414197396,0.4289224882996501,0.8788564844143572,0.6721445566189984,0.8788564844143572,5e-06,0.1999999999999999,87.24137931034483,61.91882451641455,87.24137931034483,92.54977520873474,92.56591131662668,92.54977520873474,86.36531365313654,61.12943813512965,86.36531365313654,False,,True,99.0,0.0,0.013121528336496,0.0001901871701759,1.2990313053131106,0.0188285298474179,mean,16.0,,,,,,,,
,cora,GAT,10,0.6,0.2,2021-11-24 19:38:29.018,0.1,7.0,0.5,0.5,100,,2000,,8.0,32,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,0.8874593837025746,0.7681974346065227,0.887459383702575,0.5171694833448277,0.5197127055213816,0.5171694833448277,0.8622377450588864,0.97591188862686,0.8622377450588864,0.0005,0.1999999999999999,87.24137931034483,61.70898928555933,87.24137931034483,93.6159280667951,93.60200912643556,93.6159280667951,87.19557195571956,61.43305391198267,87.19557195571956,False,,True,398.80000000000007,39.726061974477176,0.0206292830250905,0.0001414739134022,8.227745461463929,0.8284786040227794,,,,,,,,,,
,cora,JK-GAT,10,0.6,0.2,2021-12-08 19:16:14.775,0.1,7.0,0.5,0.5,100,,2000,,8.0,32,PPR,cat,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.00741291626785,0.9193332807577964,1.007412916267849,0.450544891645358,0.4457441487750918,0.450544891645358,1.56783150056582,1.4005010137393268,1.567831500565818,0.0005,0.1999999999999999,86.60098522167488,61.25788133820526,86.60098522167488,94.07193320488118,94.06792436907364,94.07193320488118,86.66051660516607,61.174955820154665,86.66051660516607,True,,False,392.5,36.98175225702535,0.0211481676119236,0.0009427937478909,8.287073892500008,0.7130591633644131,mean,16.0,True,,,,,,,
,cora,H2GCN,10,0.6,0.2,2021-11-26 10:57:30.074,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.2414488125737817,1.263649917128484,1.2414488125737817,0.4461285802649261,0.4364140076327661,0.4461285802649261,0.382146036479851,0.8095678432902178,0.3821460364798505,0.0005,0.1999999999999999,87.65188834154351,61.71777797456627,87.65188834154351,94.89402697495184,94.92970455584108,94.89402697495184,88.02583025830259,62.3360217449887,88.02583025830259,False,,True,326.49999999999994,22.195720308203565,0.0208113641542311,6.569689250935569e-05,6.794177627563477,0.4515395450762911,,,,,,,,,,
,cora,GraphSAGE,10,0.6,0.2,2021-11-30 13:08:53.406,0.1,7.0,0.5,0.5,100,,500,,8.0,128,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.0489770938380607,1.033598501906456,1.048977093838061,1.036729031418422,1.0264017390938287,1.036729031418422,1.6132046245975666,1.4435704222796055,1.6132046245975684,0.0,0.1999999999999999,87.14285714285715,61.83476593556214,87.14285714285715,95.36287732819528,95.36675603564348,95.36287732819528,85.88560885608855,60.63601864276932,85.88560885608855,False,,True,125.1,3.11287648325468,0.0202136464257232,6.319651981133733e-05,2.5286584729999726,0.0606066791558004,mean,16.0,,,,,,,,
,cora,JK-GraphSAGE,10,0.6,0.2,2021-12-08 19:17:51.004,0.1,7.0,0.5,0.5,100,,500,,8.0,128,PPR,cat,10.0,2.0,0.002,2.0,1.0,GPR_prop,0.7553366174055841,0.7237359497277496,0.7553366174055846,0.9312559517221248,0.9242106706102016,0.9312559517221248,1.4737066824882556,1.059322198399585,1.4737066824882588,0.0,0.1999999999999999,87.15927750410509,61.79197445033192,87.15927750410509,96.1078998073218,96.09870890244304,96.1078998073218,86.90036900369005,61.03904361220602,86.90036900369005,True,,False,128.0,2.144761058952724,0.0182870320916463,0.0001093714669955,2.340750969500004,0.0424194275938801,mean,16.0,True,,,,,,,
,cora,MLP,10,0.6,0.2,2021-11-24 21:14:42.990,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.0287326835912731,0.9109572896177238,1.0287326835912765,0.4861281816356134,0.489056770378634,0.4861281816356134,2.104372754468884,1.8698835952619417,2.1043727544688817,0.0005,0.1999999999999999,76.76518883415436,53.81029799617614,76.76518883415436,95.38214515093128,95.38681334851016,95.38214515093128,75.99630996309963,53.10288409810351,75.99630996309962,False,,True,572.1999999999999,59.87620562460517,0.0111786700312391,8.815160388190392e-05,6.398793482780456,0.6941378030802974,,,,,,,,,,
,cora,MoNet,10,0.6,0.2,2021-11-30 14:18:37.341,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.3589275097668718,1.1617312805367408,1.358927509766872,1.1794537831601526,1.1682801920658383,1.1794537831601517,1.66051660516605,1.7348274699910022,1.660516605166051,5e-05,0.1999999999999999,86.88013136288998,61.35914768556262,86.88013136288998,96.12074502247914,96.12347370480772,96.12074502247914,86.90036900369003,60.816470839904,86.90036900369003,False,,True,125.40000000000002,5.730619512757766,0.0338421740112302,0.0001015053249709,4.24377436640034,0.1934509762045985,mean,25.0,,,,,,,,
,cora,GPRGNN,10,0.6,0.2,2021-12-02 11:42:38.949,0.5,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.6453988555772656,1.5861962517686636,1.6453988555772656,0.4084293666174605,0.4149633893618207,0.4084293666174605,1.128934209651537,1.1403376635169031,1.1289342096515385,5e-06,0.1999999999999999,88.45648604269294,62.45665298896781,88.45648604269294,94.05266538214514,94.0732678293106,94.05266538214514,87.0110701107011,61.30921381966419,87.0110701107011,False,,True,248.00000000000009,12.091319200153473,0.0222609554915715,0.0001611167313689,5.52096098460006,0.2770762338941204,mean,16.0,,,,,,,,
,cora,FSGNN,10,0.6,0.2,2021-12-09 14:07:12.733,0.1,7.0,0.5,0.5,100,,2000,,8.0,64,PPR,last,10.0,2.0,0.002,3.0,1.0,GPR_prop,1.3340975104728832,1.0586521293346358,1.3340975104728832,0.0,0.0,0.0,1.807364855536303,1.4675778012445593,1.807364855536302,0.0005,0.1999999999999999,85.27093596059115,60.31939215316022,85.27093596059115,100.0,100.0,100.0,84.0959409594096,59.04137939842944,84.0959409594096,False,,True,530.6,72.83295957188614,0.0223111733778844,0.0001664233285043,11.83071649450012,1.5745750866668944,mean,16.0,False,0.01,,,,,,
,cora,GraphSAINT-GAT,10,0.6,0.2,2021-12-16 13:37:44.969,0.1,7.0,0.5,0.2,40,,300,,8.0,256,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.3898262048931918,1.0810979186742034,1.3898262048931926,1.1008918941251502,1.0798488734431395,1.1008918941251502,1.596660674267154,1.4501050575065324,1.596660674267152,0.0,0.1999999999999999,82.98850574712645,58.64137904156304,82.98850574712645,92.3378291586384,92.34479295279334,92.3378291586384,83.78228782287825,59.05647475592522,83.78228782287825,False,,True,141.70000000000002,18.122085972646744,0.0189230649660629,0.0003677560727116,2.6842700452994905,0.3733931458761439,mean,16.0,False,0.01,512.0,1500.0,50.0,2.0,2.0,10.0
,cora,GraphSAINT-GraphSAGE,10,0.6,0.2,2021-12-16 13:43:44.142,0.1,7.0,0.5,0.0,40,,300,,8.0,128,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.2992854027716512,0.7040384769091719,1.299285402771652,0.8273953970552533,0.8180848004489224,0.8273953970552533,1.4645542156801563,1.269376641277118,1.464554215680158,0.0,0.1999999999999999,87.07717569786536,61.57129487581665,87.07717569786536,95.70969813744382,95.69142080229022,95.70969813744382,86.77121771217713,61.16079833780911,86.77121771217713,False,,True,79.9,2.879236009777592,0.0165515764971911,0.00033588613013,1.3226170969981466,0.0578752494451494,mean,16.0,False,0.01,512.0,1500.0,50.0,4.0,2.0,10.0
,cora,Shadow-GAT,10,0.6,0.2,2021-12-16 11:05:13.945,0.1,7.0,0.5,0.2,40,,200,,8.0,256,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,0.956899985834712,1.2488391628653512,0.9568999858347128,2.0555956651061096,2.02179163003622,2.0555956651061096,1.7055197266991329,1.5015802827370826,1.705519726699135,0.0,0.1999999999999999,87.32348111658456,60.93048937316408,87.32348111658456,92.60115606936417,92.63585281034332,92.6011560693642,88.09963099630995,61.83199325353035,88.09963099630997,False,,True,41.0,5.551115123125783e-15,0.3710261402438889,0.0024907472445639,15.21207174999945,0.1021206370271218,mean,16.0,False,0.01,128.0,2000.0,50.0,2.0,2.0,5.0
,cora,Shadow-GraphSAGE,10,0.6,0.2,2021-12-16 03:37:33.550,0.1,7.0,0.5,0.1,40,,200,,8.0,256,PPR,last,10.0,2.0,0.002,2.0,1.0,GPR_prop,1.6206322577565395,1.4862802164693667,1.6206322577565362,1.8619913656433456,1.835100575282521,1.8619913656433456,1.0397788046941214,1.264906478923603,1.0397788046941236,0.0,0.1999999999999999,87.56978653530379,61.80425721790444,87.56978653530379,93.3782915863841,93.4010895573695,93.3782915863841,86.67896678966788,61.00386812803135,86.67896678966788,False,,True,41.0,5.551115123125783e-15,0.3226716753682923,0.0020805807651895,13.229538690099982,0.0853038113727704,mean,16.0,False,0.01,128.0,2000.0,50.0,2.0,2.0,5.0
